user_id,date,steps,calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood
468,01-01-2023,4530,2543.02,16.1,613,1.5,176,Walking,Clear,Park,Tired
879,01-01-2023,11613,1720.76,8.1,352,6.3,128,Cycling,Fog,Park,Happy
152,01-01-2023,27335,1706.35,3.57,236,6.7,134,Yoga,Snow,Park,Neutral
311,01-01-2023,13459,2912.38,6.41,1329,11.6,116,Swimming,Rain,Office,Tired
759,01-01-2023,15378,3344.51,17.88,52,7.4,84,Swimming,Rain,Office,Neutral
670,01-01-2023,29800,1812.5,16.92,1032,7,120,Gym Workout,Snow,Home,Stressed
245,01-01-2023,498,3553.37,3.31,534,7.4,154,Swimming,Snow,Gym,Stressed
962,01-01-2023,9081,3679.95,6.98,602,4.2,152,Gym Workout,Fog,Gym,Stressed
701,01-01-2023,9724,3082.07,1.16,1269,6.1,86,Running,Snow,Gym,Tired
412,01-01-2023,27460,1547.16,2.21,733,4.6,87,Cycling,Rain,Gym,Happy
201,01-01-2023,11282,2750.65,10.97,1131,0.5,167,Cycling,Snow,Park,Stressed
104,01-01-2023,19076,3462.39,5.77,787,2.2,100,Yoga,Snow,Other,Stressed
555,01-01-2023,14834,3293.93,19.12,323,11,116,None,Snow,Home,Neutral
982,01-01-2023,23910,2025.84,19.18,911,0.1,131,Cycling,Fog,Office,Tired
254,01-01-2023,18735,3982.39,3.48,488,8.1,132,Running,Rain,Home,Stressed
869,01-01-2023,4641,2436.38,8.25,595,1.5,90,None,Snow,Other,Tired
844,01-01-2023,11162,3363.78,13.27,1212,10.2,128,Swimming,Fog,Home,Happy
687,01-01-2023,22850,3831.47,19.15,482,0.3,141,Walking,Clear,Park,Neutral
640,01-01-2023,20127,3664.69,9.93,30,7.2,76,Swimming,Clear,Other,Happy
211,01-01-2023,18165,3984.15,8.21,659,9.8,84,Yoga,Fog,Office,Neutral
245,01-01-2023,24993,1511.86,18.73,438,3.9,105,Running,Fog,Other,Stressed
850,01-01-2023,19439,3455.02,10.39,413,9.3,65,Walking,Clear,Office,Happy
696,01-01-2023,27762,3432.03,13.84,436,4.5,151,Swimming,Rain,Gym,Stressed
720,01-01-2023,2821,2157.13,10.01,1309,7.4,144,Running,Clear,Home,Tired
159,01-01-2023,9712,2985.72,11.31,1060,10,69,None,Snow,Park,Neutral
809,01-01-2023,13343,3484.76,13.96,756,10.3,96,Gym Workout,Snow,Gym,Stressed
633,01-01-2023,2992,2759.26,13.68,945,8.1,176,Gym Workout,Clear,Gym,Neutral
369,01-01-2023,14417,3910.01,10.24,939,10.8,139,Walking,Snow,Gym,Stressed
625,01-01-2023,28144,2799.9,11.05,1360,5.7,175,Yoga,Rain,Office,Tired
311,01-01-2023,4798,2620.92,11.42,30,5.1,74,Swimming,Clear,Office,Neutral
182,01-01-2023,22274,1951.05,1.11,909,0.6,121,Running,Snow,Office,Neutral
882,01-01-2023,9556,3581.64,7.98,463,7.9,97,Running,Clear,Park,Happy
346,01-01-2023,13549,1948.82,18.03,568,7,68,Walking,Clear,Home,Neutral
56,01-01-2023,23425,2668.68,18.28,17,0.5,83,Walking,Snow,Gym,Neutral
800,01-01-2023,12897,2367.4,9.49,850,11.3,175,Walking,Clear,Home,Happy
611,01-01-2023,1572,1683.07,11.44,1135,8,68,Running,Clear,Park,Neutral
293,01-01-2023,2417,1804.38,10.5,190,5.7,137,Yoga,Snow,Home,Tired
706,01-01-2023,26462,3240.08,12.5,1192,11.7,160,Running,Rain,Gym,Stressed
510,01-01-2023,12437,2197.36,15.25,898,0.9,163,Swimming,Rain,Home,Stressed
15,01-01-2023,26423,2600.71,6.51,1050,0.9,160,Gym Workout,Fog,Other,Tired
543,01-01-2023,10155,2505.42,1.52,238,3.2,178,None,Clear,Home,Happy
364,01-01-2023,13133,2083.37,18.56,705,4.3,76,Yoga,Rain,Park,Tired
629,01-01-2023,8033,3658.93,19.6,1264,3.9,117,Yoga,Snow,Gym,Tired
308,01-01-2023,16201,2238.35,15.82,474,6,172,Swimming,Clear,Home,Tired
678,01-01-2023,5632,3282.66,12.15,578,4.8,63,Cycling,Snow,Gym,Neutral
177,01-01-2023,16949,3187.79,3.38,505,8.8,80,None,Clear,Park,Stressed
264,01-01-2023,14056,3781.09,1.41,383,10.2,106,Cycling,Snow,Home,Neutral
778,01-01-2023,5389,3058.01,5.12,1027,1,87,Walking,Snow,Home,Stressed
470,01-01-2023,11317,2513.98,4.1,946,11.4,166,None,Snow,Home,Tired
758,01-01-2023,2517,1702.37,2.08,425,9,60,None,Snow,Office,Stressed
901,01-01-2023,16306,3594.96,7.11,1305,4.3,132,Swimming,Rain,Other,Neutral
91,01-01-2023,27311,2488.04,11.87,159,6.3,177,Swimming,Clear,Home,Stressed
565,01-01-2023,17556,2987.71,14.87,322,0.8,154,None,Snow,Office,Happy
26,01-01-2023,10109,2603.91,7.76,482,1.4,158,Gym Workout,Rain,Other,Tired
747,01-01-2023,12390,1741.93,15.75,733,2.9,153,Walking,Clear,Office,Tired
132,01-01-2023,15675,2809.05,1.87,1209,3.2,86,Running,Clear,Home,Stressed
477,01-01-2023,3278,3328.3,17.98,935,5.4,175,Yoga,Rain,Park,Stressed
767,01-01-2023,15402,3715.85,4.84,908,5.1,118,Yoga,Clear,Park,Stressed
251,01-01-2023,9826,2426.15,2.8,1104,11.8,73,Walking,Fog,Home,Stressed
484,01-01-2023,330,2700.05,11.17,208,6.9,83,Walking,Clear,Gym,Tired
801,01-01-2023,29438,2399.34,12.43,303,11.5,60,Running,Clear,Gym,Tired
52,01-01-2023,28897,2247.05,6.29,598,1.4,146,Swimming,Clear,Gym,Tired
482,01-01-2023,19249,2759.89,5.37,379,0.1,76,Yoga,Fog,Home,Neutral
533,01-01-2023,11002,3934.54,16.55,1394,7.5,158,Gym Workout,Rain,Home,Tired
801,01-01-2023,29678,3349.07,9.9,1207,2.3,90,Running,Fog,Office,Neutral
248,01-01-2023,431,2969.94,17.27,654,2.6,102,Running,Snow,Home,Neutral
104,01-01-2023,3132,3383.92,18.74,352,2.6,67,None,Fog,Office,Happy
274,01-01-2023,22350,2109.15,4.34,640,2.7,68,Walking,Snow,Park,Stressed
304,01-01-2023,5340,1878.64,15.05,647,0.1,125,Yoga,Rain,Home,Tired
593,01-01-2023,21504,1747,2.62,985,9.1,76,Gym Workout,Clear,Gym,Tired
502,01-01-2023,29725,2099.17,14.09,594,1.7,110,Running,Clear,Gym,Stressed
768,01-01-2023,28027,3702.46,1.91,790,1.1,170,None,Fog,Park,Stressed
137,01-01-2023,26865,3896.29,18.89,1000,11.9,60,None,Clear,Park,Tired
192,01-01-2023,3364,3998.92,10.6,718,9.8,64,Cycling,Snow,Other,Stressed
994,01-01-2023,3582,1868.32,12.45,754,10.2,88,Running,Rain,Home,Tired
859,01-01-2023,22117,1982.57,9.27,678,1.6,77,None,Clear,Office,Stressed
254,01-01-2023,28800,1772.87,12.33,997,5.6,88,Walking,Snow,Park,Happy
908,01-01-2023,11889,2361.55,19.12,497,1.5,106,Gym Workout,Snow,Other,Happy
559,01-01-2023,8876,2022.3,19.03,10,0.5,164,None,Clear,Other,Stressed
250,01-01-2023,28801,3304.39,2.65,190,9.3,91,Swimming,Clear,Park,Tired
263,01-01-2023,2022,1688.99,13.14,327,8,145,Yoga,Clear,Other,Tired
448,01-01-2023,20503,3683.4,4.75,868,7.5,92,Yoga,Rain,Other,Happy
298,01-01-2023,21722,3698.94,15.17,1235,3.7,105,Yoga,Snow,Park,Happy
376,01-01-2023,5792,3549.59,3.46,869,4.9,156,Swimming,Clear,Park,Stressed
716,01-01-2023,12574,2705.94,14.54,383,10.9,78,Walking,Rain,Office,Stressed
219,01-01-2023,5484,2654.35,7.88,686,1.8,91,Swimming,Rain,Home,Happy
888,01-01-2023,11949,2864.7,6.51,1235,0.7,127,Running,Clear,Home,Tired
32,01-01-2023,242,3827.13,9.38,1021,9.5,98,Walking,Snow,Office,Happy
374,01-01-2023,2912,2100.46,4.63,886,8.3,78,Gym Workout,Clear,Office,Stressed
814,01-01-2023,18122,2022.75,3.72,1049,8.7,174,Cycling,Clear,Office,Stressed
706,01-01-2023,19353,3756.76,9.84,1146,9.8,87,Cycling,Fog,Gym,Tired
255,01-01-2023,7721,2689.83,4.73,706,8.4,115,Gym Workout,Fog,Office,Neutral
363,01-01-2023,24512,3455.55,9.96,1164,4.9,102,Running,Snow,Gym,Tired
227,01-01-2023,626,3506.11,17.39,467,11.4,64,Gym Workout,Fog,Park,Neutral
317,01-01-2023,24390,3504.99,9.32,1303,0.3,87,Swimming,Clear,Park,Neutral
283,01-01-2023,21754,2150.95,15.99,38,1.8,67,Gym Workout,Clear,Park,Tired
644,01-01-2023,530,2448.33,2.59,714,7.4,77,Swimming,Snow,Other,Stressed
592,01-01-2023,29294,1811.6,11.33,174,11.3,77,Walking,Clear,Gym,Neutral
690,01-01-2023,24371,2985.58,8.92,1268,2.6,109,Walking,Fog,Other,Stressed
126,01-01-2023,1768,1722.24,14.29,296,2.2,70,Running,Snow,Park,Happy
843,01-01-2023,10390,1704.65,12.96,1325,6.6,144,Walking,Clear,Office,Tired
705,01-01-2023,14,1878.03,0.94,916,0.2,175,Cycling,Rain,Park,Happy
714,01-01-2023,16030,3601.22,11.26,834,8.2,112,Yoga,Snow,Park,Stressed
444,01-01-2023,4826,3125.88,5.24,646,1.6,72,Cycling,Fog,Park,Happy
467,01-01-2023,28480,2456.45,2.49,671,3.9,74,Running,Rain,Gym,Neutral
573,01-01-2023,21027,3143.28,8.96,61,3.6,173,Yoga,Snow,Office,Happy
674,01-01-2023,15022,1597.47,6.25,1070,11.9,114,Yoga,Rain,Gym,Happy
195,01-01-2023,13837,3670.87,6.75,746,0.8,142,Yoga,Fog,Office,Tired
427,01-01-2023,13469,3550.71,4.12,200,9.9,113,None,Snow,Park,Neutral
979,01-01-2023,14454,2848.31,3.13,1123,11.3,120,Gym Workout,Clear,Park,Happy
392,01-01-2023,18715,3470.2,4.51,1042,4.1,147,Gym Workout,Fog,Gym,Neutral
212,01-01-2023,28,2104.8,9.46,1283,11.9,61,Yoga,Clear,Gym,Happy
934,01-01-2023,6719,3951.91,7.45,440,6.6,88,Cycling,Clear,Home,Tired
298,01-01-2023,5728,2695.76,8.85,439,4.5,88,Yoga,Clear,Gym,Neutral
564,01-01-2023,29962,1660.34,2.26,270,7.8,125,Walking,Rain,Gym,Tired
365,01-01-2023,26221,1762.27,1.77,1433,2.1,117,Swimming,Rain,Home,Stressed
478,01-01-2023,13690,3163.04,8.79,1405,8.7,170,Running,Snow,Gym,Neutral
418,01-01-2023,15880,2888.8,10,570,12,136,Running,Clear,Gym,Neutral
614,01-01-2023,15290,3905.71,12.97,824,3.4,145,Running,Snow,Park,Stressed
940,01-01-2023,6747,3858.17,5.42,595,10.3,104,Gym Workout,Snow,Home,Tired
847,01-01-2023,27841,2362.27,9.89,1372,1.7,72,Yoga,Rain,Other,Tired
827,01-01-2023,28102,1668.99,10.27,440,4.8,150,Cycling,Clear,Other,Stressed
615,01-01-2023,21093,3800.79,11,1125,9,115,Yoga,Rain,Other,Tired
348,01-01-2023,14333,2134.76,4.8,8,7,176,Gym Workout,Snow,Home,Tired
434,01-01-2023,27712,1609.23,10.5,57,2.3,64,Walking,Clear,Park,Tired
15,01-01-2023,25138,3334.13,8.77,871,7.8,93,Walking,Clear,Other,Tired
334,01-01-2023,21216,1951.81,9.13,37,5,140,Swimming,Fog,Park,Happy
960,01-01-2023,13495,3731.98,2.16,3,6.7,104,Running,Clear,Office,Stressed
255,01-01-2023,24202,1559.08,18.91,904,10.8,139,Gym Workout,Fog,Home,Tired
239,01-01-2023,15039,3740.15,17.36,1157,6,147,Walking,Fog,Home,Happy
